"filename", "language", "JavaScript", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\pages\Addproduct.js", "JavaScript", 178, 0, 0, 0, 0, 0, 11, 189
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\pages\Blogcatlist.js", "JavaScript", 50, 0, 0, 0, 0, 0, 6, 56
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\pages\Bloglist.js", "JavaScript", 59, 0, 0, 0, 0, 0, 5, 64
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\pages\Brandlist.js", "JavaScript", 48, 0, 0, 0, 0, 0, 6, 54
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\pages\Categorylist.js", "JavaScript", 50, 0, 0, 0, 0, 0, 6, 56
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\pages\Colorlist.js", "JavaScript", 50, 0, 0, 0, 0, 0, 6, 56
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\pages\Customers.js", "JavaScript", 50, 0, 0, 0, 0, 0, 7, 57
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\pages\Dashboard.js", "JavaScript", 175, 0, 0, 0, 0, 0, 3, 178
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\pages\Enquiries.js", "JavaScript", 71, 0, 0, 0, 0, 0, 4, 75
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\pages\Forgotpassword.js", "JavaScript", 23, 0, 0, 0, 0, 0, 2, 25
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\pages\Login.js", "JavaScript", 94, 0, 0, 0, 0, 1, 7, 102
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\pages\Orders.js", "JavaScript", 75, 0, 0, 0, 0, 0, 5, 80
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\pages\Productlist.js", "JavaScript", 78, 0, 0, 0, 0, 0, 5, 83
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\pages\Resetpassword.js", "JavaScript", 24, 0, 0, 0, 0, 0, 2, 26
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\utils\axiosconfig.js", "JavaScript", 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\admin pannel\src\utils\base_url.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 2091, 110, 20922, 38, 20, 24, 288, 23493
